#miRNA	read_count	precursor	total	aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb	aaa(norm)	aab(norm)	aac(norm)	aad(norm)	aae(norm)	aaf(norm)	aag(norm)	aah(norm)	aai(norm)	aaj(norm)	aak(norm)	aal(norm)	aam(norm)	aan(norm)	aao(norm)	aap(norm)	aaq(norm)	aar(norm)	aas(norm)	aat(norm)	aau(norm)	aav(norm)	aaw(norm)	aay(norm)	aaz(norm)	aba(norm)	abb(norm)	abc(norm)	abd(norm)	abe(norm)	abf(norm)	abg(norm)	abh(norm)	abi(norm)	abj(norm)	abk(norm)	abl(norm)	abm(norm)	abn(norm)	abo(norm)	abp(norm)	abq(norm)	abr(norm)	abs(norm)	abt(norm)	abu(norm)	abv(norm)	abw(norm)	aby(norm)	abz(norm)	aca(norm)	acb(norm)
hsa-let-7a-5p	213714.00	hsa-let-7a-1	213714.00	3281.00	1873.00	4250.00	5033.00	2452.00	6507.00	3812.00	2733.00	3688.00	4033.00	2921.00	4734.00	6197.00	4350.00	948.00	4539.00	3105.00	7958.00	6163.00	4391.00	2442.00	4049.00	4643.00	3880.00	4377.00	4386.00	6236.00	4782.00	2569.00	7650.00	3369.00	4391.00	4836.00	4113.00	5097.00	3024.00	6053.00	3729.00	3054.00	4692.00	2549.00	3073.00	2153.00	2933.00	4958.00	3810.00	2051.00	13068.00	925.00	4317.00	1156.00	2381.00	253.85	133.07	316.85	364.42	168.75	442.93	250.84	217.72	265.34	276.93	232.15	350.90	232.45	327.74	64.53	328.38	226.97	653.27	452.88	340.53	192.13	322.77	364.76	311.81	330.84	385.88	666.70	384.06	219.18	741.67	305.73	382.18	417.67	385.49	421.48	269.07	529.80	311.01	258.50	369.92	180.54	212.93	162.76	211.70	378.63	318.25	151.90	951.89	72.53	293.19	89.16	199.73
hsa-let-7a-5p	213757.00	hsa-let-7a-2	213757.00	3280.00	1873.00	4251.00	5034.00	2452.00	6506.00	3813.00	2732.00	3689.00	4033.00	2924.00	4737.00	6196.00	4350.00	947.00	4542.00	3107.00	7960.00	6162.00	4392.00	2445.00	4049.00	4644.00	3880.00	4378.00	4390.00	6236.00	4782.00	2569.00	7652.00	3367.00	4392.00	4837.00	4114.00	5097.00	3024.00	6057.00	3729.00	3053.00	4691.00	2552.00	3072.00	2153.00	2935.00	4963.00	3812.00	2053.00	13072.00	924.00	4317.00	1156.00	2382.00	253.77	133.07	316.93	364.50	168.75	442.86	250.90	217.64	265.41	276.93	232.39	351.12	232.41	327.74	64.46	328.60	227.12	653.43	452.80	340.61	192.36	322.77	364.84	311.81	330.92	386.23	666.70	384.06	219.18	741.86	305.55	382.26	417.76	385.58	421.48	269.07	530.15	311.01	258.41	369.84	180.75	212.86	162.76	211.84	379.01	318.42	152.04	952.18	72.45	293.19	89.16	199.81
hsa-let-7a-5p	213798.00	hsa-let-7a-3	213798.00	3281.00	1872.00	4255.00	5033.00	2454.00	6510.00	3813.00	2733.00	3689.00	4034.00	2925.00	4737.00	6197.00	4352.00	948.00	4540.00	3105.00	7968.00	6164.00	4394.00	2444.00	4052.00	4647.00	3882.00	4380.00	4388.00	6238.00	4781.00	2569.00	7652.00	3368.00	4395.00	4839.00	4115.00	5099.00	3025.00	6054.00	3731.00	3053.00	4691.00	2550.00	3072.00	2155.00	2935.00	4960.00	3813.00	2052.00	13073.00	924.00	4320.00	1155.00	2382.00	253.85	133.00	317.23	364.42	168.89	443.13	250.90	217.72	265.41	277.00	232.47	351.12	232.45	327.90	64.53	328.46	226.97	654.09	452.95	340.77	192.28	323.01	365.07	311.97	331.07	386.05	666.92	383.98	219.18	741.86	305.64	382.52	417.93	385.68	421.64	269.16	529.89	311.18	258.41	369.84	180.61	212.86	162.92	211.84	378.78	318.50	151.97	952.25	72.45	293.40	89.09	199.81
hsa-let-7b-5p	54068.00	hsa-let-7b	54068.00	1091.00	715.00	1304.00	1978.00	359.00	1690.00	1372.00	1260.00	771.00	310.00	825.00	1942.00	1519.00	846.00	122.00	1125.00	695.00	2058.00	1654.00	1039.00	578.00	1310.00	744.00	691.00	878.00	1170.00	1306.00	1203.00	388.00	1732.00	645.00	1846.00	2032.00	928.00	1818.00	706.00	1500.00	648.00	686.00	1284.00	364.00	568.00	135.00	994.00	834.00	1052.00	1378.00	3069.00	118.00	466.00	133.00	189.00	84.41	50.80	97.22	143.22	24.71	115.04	90.28	100.37	55.47	21.29	65.57	143.95	56.98	63.74	8.30	81.39	50.80	168.94	121.54	80.58	45.47	104.43	58.45	55.53	66.37	102.94	139.63	96.62	33.10	167.92	58.53	160.67	175.50	86.98	150.33	62.82	131.29	54.05	58.06	101.23	25.78	39.36	10.21	71.74	63.69	87.87	102.05	223.55	9.25	31.65	10.26	15.85
hsa-let-7c-5p	2862.00	hsa-let-7c	2862.00	43.00	24.00	44.00	47.00	26.00	64.00	36.00	38.00	46.00	47.00	39.00	53.00	86.00	40.00	7.00	45.00	26.00	71.00	51.00	37.00	20.00	37.00	26.00	35.00	43.00	33.00	74.00	63.00	34.00	109.00	47.00	72.00	58.00	53.00	74.00	43.00	87.00	53.00	36.00	95.00	56.00	78.00	43.00	56.00	83.00	103.00	50.00	249.00	20.00	91.00	25.00	46.00	3.33	1.71	3.28	3.40	1.79	4.36	2.37	3.03	3.31	3.23	3.10	3.93	3.23	3.01	0.48	3.26	1.90	5.83	3.75	2.87	1.57	2.95	2.04	2.81	3.25	2.90	7.91	5.06	2.90	10.57	4.27	6.27	5.01	4.97	6.12	3.83	7.61	4.42	3.05	7.49	3.97	5.40	3.25	4.04	6.34	8.60	3.70	18.14	1.57	6.18	1.93	3.86
hsa-let-7d-5p	17380.00	hsa-let-7d	17380.00	338.00	181.00	302.00	248.00	189.00	440.00	272.00	285.00	341.00	380.00	247.00	359.00	603.00	373.00	59.00	426.00	302.00	518.00	638.00	291.00	224.00	353.00	320.00	334.00	421.00	459.00	611.00	371.00	249.00	440.00	290.00	502.00	463.00	410.00	416.00	224.00	518.00	244.00	242.00	315.00	256.00	256.00	233.00	292.00	379.00	236.00	205.00	696.00	74.00	323.00	69.00	163.00	26.15	12.86	22.52	17.96	13.01	29.95	17.90	22.70	24.53	26.09	19.63	26.61	22.62	28.10	4.02	30.82	22.08	42.52	46.88	22.57	17.62	28.14	25.14	26.84	31.82	40.38	65.32	29.80	21.24	42.66	26.32	43.69	39.99	38.43	34.40	19.93	45.34	20.35	20.48	24.83	18.13	17.74	17.61	21.08	28.94	19.71	15.18	50.70	5.80	21.94	5.32	13.67
hsa-let-7e-5p	531.00	hsa-let-7e	531.00	9.00	3.00	17.00	16.00	7.00	13.00	9.00	5.00	12.00	4.00	5.00	15.00	14.00	8.00	4.00	9.00	7.00	21.00	15.00	12.00	11.00	9.00	20.00	7.00	11.00	13.00	15.00	13.00	9.00	15.00	9.00	7.00	16.00	17.00	11.00	6.00	17.00	6.00	10.00	15.00	5.00	5.00	4.00	8.00	8.00	4.00	8.00	31.00	3.00	6.00	2.00	5.00	0.70	0.21	1.27	1.16	0.48	0.88	0.59	0.40	0.86	0.27	0.40	1.11	0.53	0.60	0.27	0.65	0.51	1.72	1.10	0.93	0.87	0.72	1.57	0.56	0.83	1.14	1.60	1.04	0.77	1.45	0.82	0.61	1.38	1.59	0.91	0.53	1.49	0.50	0.85	1.18	0.35	0.35	0.30	0.58	0.61	0.33	0.59	2.26	0.24	0.41	0.15	0.42
hsa-let-7f-5p	140958.00	hsa-let-7f-1	140958.00	1482.00	1105.00	1741.00	2080.00	1389.00	3611.00	1819.00	1023.00	2370.00	3389.00	1997.00	2522.00	3900.00	2296.00	542.00	2588.00	1904.00	6174.00	4092.00	2673.00	1512.00	2456.00	4200.00	2956.00	2815.00	3117.00	5281.00	2564.00	1378.00	3551.00	1897.00	1977.00	2851.00	2959.00	2990.00	1392.00	4063.00	2042.00	2068.00	1901.00	1606.00	1898.00	1782.00	1404.00	2605.00	2035.00	809.00	18127.00	737.00	3802.00	967.00	2519.00	114.66	78.51	129.80	150.61	95.59	245.80	119.69	81.49	170.51	232.71	158.71	186.94	146.29	172.99	36.89	187.23	139.18	506.82	300.69	207.30	118.96	195.78	329.96	237.55	212.78	274.23	564.60	205.93	117.56	344.27	172.15	172.07	246.23	277.33	247.25	123.86	355.62	170.31	175.04	149.88	113.75	131.51	134.72	101.34	198.94	169.98	59.91	1320.39	57.79	258.22	74.59	211.31
hsa-let-7f-5p	141505.00	hsa-let-7f-2	141505.00	1482.00	1110.00	1737.00	2079.00	1404.00	3623.00	1827.00	1025.00	2376.00	3414.00	1998.00	2523.00	3913.00	2302.00	543.00	2591.00	1920.00	6196.00	4103.00	2685.00	1513.00	2464.00	4210.00	2978.00	2828.00	3138.00	5318.00	2569.00	1380.00	3562.00	1909.00	1978.00	2858.00	2969.00	2998.00	1395.00	4084.00	2053.00	2072.00	1904.00	1606.00	1901.00	1792.00	1407.00	2617.00	2048.00	814.00	18224.00	742.00	3817.00	968.00	2538.00	114.66	78.86	129.50	150.53	96.62	246.62	120.22	81.65	170.95	234.43	158.79	187.01	146.78	173.44	36.96	187.45	140.35	508.62	301.50	208.23	119.04	196.42	330.74	239.32	213.76	276.08	568.56	206.33	117.74	345.34	173.24	172.16	246.84	278.27	247.91	124.12	357.46	171.23	175.38	150.11	113.75	131.72	135.47	101.55	199.85	171.07	60.28	1327.46	58.18	259.23	74.66	212.90
hsa-let-7g-5p	46358.00	hsa-let-7g	46358.00	585.00	384.00	651.00	788.00	415.00	1304.00	641.00	454.00	920.00	1016.00	652.00	936.00	1388.00	927.00	96.00	1091.00	694.00	1796.00	1479.00	970.00	463.00	914.00	1218.00	772.00	866.00	879.00	1351.00	935.00	495.00	1306.00	668.00	874.00	966.00	964.00	1151.00	476.00	1234.00	730.00	636.00	718.00	536.00	412.00	442.00	525.00	938.00	860.00	372.00	4740.00	311.00	1316.00	354.00	749.00	45.26	27.28	48.53	57.06	28.56	88.76	42.18	36.17	66.19	69.77	51.82	69.38	52.06	69.84	6.53	78.93	50.73	147.43	108.68	75.23	36.43	72.86	95.69	62.04	65.46	77.33	144.44	75.09	42.23	126.62	60.62	76.07	83.43	90.35	95.18	42.35	108.01	60.88	53.83	56.61	37.96	28.55	33.41	37.89	71.63	71.84	27.55	345.27	24.39	89.38	27.30	62.83
