Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	Dim.6	Dim.7	Dim.8	Dim.9	Dim.10
V1	0.775213612335783	0.329197387480881	-0.437159986397266	0.000667286805267315	-0.0709950653275807	-0.101634519364169	-0.0796486549994691	-0.103279386835989	0.0424935764459929	0.0635175399326048
V2	0.77641975271841	0.327873339255274	-0.436502422011637	0.000974445120581898	-0.0692046814462074	-0.0973302225144422	-0.0782931325302485	-0.105758332447949	0.0427563011075721	0.0628414328103371
V3	0.775213612335783	0.329197387480881	-0.437159986397265	0.000667286805268061	-0.0709950653275808	-0.101634519364168	-0.0796486549994701	-0.10327938683599	0.0424935764459921	0.0635175399326052
V4	0.723670226587459	0.405791750757726	-0.347946867294585	-0.118127351220161	-0.0306662492983156	0.0261883962441254	-0.263132242034645	-0.0186265762188577	0.058408485452159	-0.0937980929003165
V5	0.610133502004025	0.12632682971592	-0.470536844757646	0.0388063414203991	-0.018147620146568	0.137097560855198	-0.117402217532279	-0.131331817265512	0.15401141601247	0.0713714648516879
V6	0.771285703990348	0.481013552254887	-0.245724834062146	0.0927457980535745	-0.163372848812446	-0.0211286813258738	0.0252504601428118	-0.0481144660898247	0.0213075967366058	0.0790073518090562
V7	0.673913035684575	0.323233750232004	-0.372278050193442	-0.0537863230796886	-0.149557870774664	-0.1666647415838	-0.106837745074306	-0.0585837621843613	0.0201383327654941	-0.00503586522524037
V8	0.763338320294557	0.143993201008686	-0.400274540272661	0.145930831916306	-0.227775899999966	-0.253637080316775	0.0690006163664443	-0.0661695961488456	0.0552322760605988	0.0689270898537187
V9	0.76542067087843	0.140350221608298	-0.401116688280869	0.147282015169141	-0.225439493588104	-0.254630356504119	0.0623212996873434	-0.0654307963017734	0.0512738149714685	0.0716484807450139
V10	0.845065175785487	0.154579572652684	-0.366694382219175	0.0594102932294328	-0.14542256735187	-0.192549929345856	-0.00838897599061903	-0.0261579960988571	0.0132765074407287	0.0349748924581718
V11	0.747341372227613	0.317049058323605	-0.373040949376292	-0.012384311263934	-0.107990177711352	-0.120205444812367	-0.0446303215136918	0.066215596879504	0.194539325210074	0.134725907681124
