"","Viral Symptomatic","Bacteria","MeanDecreaseAccuracy","MeanDecreaseGini"
"f211",2.59688212365368,2.56481235534852,2.64348897847864,0.740513046061639
"f200",2.28973402187928,2.35431324314348,2.42448261376278,0.726956521739131
"f86",1.7103344030669,1.94587119722705,1.96331038859791,0.585869565217391
"f165",2.20863052149693,1.94587119722705,2.17190547181891,0.444384057971014
"f40",1.95965450417405,2.25557467880448,2.17557690273316,0.406398524181133
"f329",1.9793472159285,1.59119780087674,1.93295184588301,0.377234113712374
"f111",1.00503781525921,1.42857142857143,1.27515342612668,0.345138339920949
"f193",2.02129559670392,1.65032988480418,2.21773947780669,0.296662106009933
"f305",1.27515342612668,1.00503781525921,1.41965725549001,0.25152895413765
"f47",1.27515342612668,1.18428919240805,1.27983142118173,0.228303410428731
"f201",1.00503781525921,1.00503781525921,1.00503781525921,0.226086956521739
"f330",1.00503781525921,1.00503781525921,1.42655668773225,0.187736900780379
"f209",1.35388104721957,1.35388104721957,1.41965725549001,0.185284280936455
"f135",0.31816027224463,1.00503781525921,0.493008167973192,0.171275362318841
"f133",-1.42857142857143,-1.00503781525921,-1.3316010150365,0.169275362318841
"f318",1.00503781525921,1.00503781525921,1.00503781525921,0.163198757763975
"f7",-1.00503781525921,-1.00503781525921,-1.00503781525921,0.160705314009662
"f141",1.25494084559905,1.27515342612668,1.2627025501734,0.157977602108037
"f138",1.27515342612668,-0.34319911152729,1.00503781525921,0.154751207729469
"f195",-1.00503781525921,0,-1.00503781525921,0.149550602849836
"f285",-1.00503781525921,1.00503781525921,0,0.136991397349454
"f286",-1.00503781525921,0,-1.00503781525921,0.131933229813665
"f263",0,0,0,0.130465838509317
"f35",1.00503781525921,1.00503781525921,1.00503781525921,0.120891943734015
"f163",0,0,0,0.115776679841897
"f319",0,1.00503781525921,1.00503781525921,0.111972049689441
"f271",1.40028008402801,1.00503781525921,1.35388104721957,0.105354852876592
"f199",1.41965725549001,1.00503781525921,1.41392503568186,0.101068322981366
"f180",0.277456832808932,1.00503781525921,0.447661481035845,0.0982034632034632
"f154",1.00503781525921,1.00503781525921,1.42605607037025,0.0976689976689979
"f30",1.00503781525921,1.00503781525921,1.00503781525921,0.094472049689441
