eigenvalue	percentage of variance	cumulative percentage of variance
comp 1	98.5370284460223	29.5906992330397	29.5906992330397
comp 2	29.9416000097488	8.99147147439905	38.5821707074388
comp 3	21.4271582219544	6.43458204863494	45.0167527560737
comp 4	15.5251606288688	4.6622103990597	49.6789631551334
comp 5	12.3847797083795	3.71915306557944	53.3981162207128
comp 6	11.4138998230078	3.42759754444677	56.8257137651596
comp 7	9.52656205214022	2.86082944508715	59.6865432102468
comp 8	7.62144044183343	2.28872085340343	61.9752640636502
comp 9	7.06190797165541	2.1206930845812	64.0959571482314
comp 10	6.58530589456522	1.97756933770727	66.0735264859387
comp 11	6.20548903422095	1.86351022048677	67.9370367064254
comp 12	5.86200737558177	1.76036257524978	69.6973992816752
comp 13	5.42874724722407	1.63025442859582	71.327653710271
comp 14	5.06769916493753	1.52183158106232	72.8494852913334
comp 15	4.86276623894803	1.46029016184626	74.3097754531796
comp 16	4.57604761464239	1.37418847286558	75.6839639260452
comp 17	4.33923955260848	1.30307494072327	76.9870388667685
comp 18	4.20743543472711	1.26349412454268	78.2505329913111
comp 19	4.1180668520972	1.2366567123415	79.4871897036526
comp 20	3.88351301126757	1.16622012350378	80.6534098271564
comp 21	3.83826854979282	1.15263319813598	81.8060430252924
comp 22	3.5633605980473	1.07007825767186	82.8761212829642
comp 23	3.35322434737458	1.00697427849086	83.8830955614551
comp 24	3.26457007058457	0.980351372547917	84.863446934003
comp 25	3.08248677291668	0.925671703578582	85.7891186375816
