aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb
hsa-let-7a-5p	3281	1873	4250	5033	2452	6507	3812	2733	3688	4033	2921	4734	6197	4350	948	4539	3105	7958	6163	4391	2442	4049	4643	3880	4377	4386	6236	4782	2569	7650	3369	4391	4836	4113	5097	3024	6053	3729	3054	4692	2549	3073	2153	2933	4958	3810	2051	13068	925	4317	1156	2381
hsa-let-7a-5p	3280	1873	4251	5034	2452	6506	3813	2732	3689	4033	2924	4737	6196	4350	947	4542	3107	7960	6162	4392	2445	4049	4644	3880	4378	4390	6236	4782	2569	7652	3367	4392	4837	4114	5097	3024	6057	3729	3053	4691	2552	3072	2153	2935	4963	3812	2053	13072	924	4317	1156	2382
hsa-let-7a-5p	3281	1872	4255	5033	2454	6510	3813	2733	3689	4034	2925	4737	6197	4352	948	4540	3105	7968	6164	4394	2444	4052	4647	3882	4380	4388	6238	4781	2569	7652	3368	4395	4839	4115	5099	3025	6054	3731	3053	4691	2550	3072	2155	2935	4960	3813	2052	13073	924	4320	1155	2382
hsa-let-7b-5p	1091	715	1304	1978	359	1690	1372	1260	771	310	825	1942	1519	846	122	1125	695	2058	1654	1039	578	1310	744	691	878	1170	1306	1203	388	1732	645	1846	2032	928	1818	706	1500	648	686	1284	364	568	135	994	834	1052	1378	3069	118	466	133	189
hsa-let-7c-5p	43	24	44	47	26	64	36	38	46	47	39	53	86	40	7	45	26	71	51	37	20	37	26	35	43	33	74	63	34	109	47	72	58	53	74	43	87	53	36	95	56	78	43	56	83	103	50	249	20	91	25	46
hsa-let-7d-5p	338	181	302	248	189	440	272	285	341	380	247	359	603	373	59	426	302	518	638	291	224	353	320	334	421	459	611	371	249	440	290	502	463	410	416	224	518	244	242	315	256	256	233	292	379	236	205	696	74	323	69	163
hsa-let-7e-5p	9	3	17	16	7	13	9	5	12	4	5	15	14	8	4	9	7	21	15	12	11	9	20	7	11	13	15	13	9	15	9	7	16	17	11	6	17	6	10	15	5	5	4	8	8	4	8	31	3	6	2	5
hsa-let-7f-5p	1482	1105	1741	2080	1389	3611	1819	1023	2370	3389	1997	2522	3900	2296	542	2588	1904	6174	4092	2673	1512	2456	4200	2956	2815	3117	5281	2564	1378	3551	1897	1977	2851	2959	2990	1392	4063	2042	2068	1901	1606	1898	1782	1404	2605	2035	809	18127	737	3802	967	2519
hsa-let-7f-5p	1482	1110	1737	2079	1404	3623	1827	1025	2376	3414	1998	2523	3913	2302	543	2591	1920	6196	4103	2685	1513	2464	4210	2978	2828	3138	5318	2569	1380	3562	1909	1978	2858	2969	2998	1395	4084	2053	2072	1904	1606	1901	1792	1407	2617	2048	814	18224	742	3817	968	2538
hsa-let-7g-5p	585	384	651	788	415	1304	641	454	920	1016	652	936	1388	927	96	1091	694	1796	1479	970	463	914	1218	772	866	879	1351	935	495	1306	668	874	966	964	1151	476	1234	730	636	718	536	412	442	525	938	860	372	4740	311	1316	354	749
hsa-let-7i-5p	2120	1904	2460	2874	2409	5053	3341	3033	3814	2063	3352	3081	5282	3394	472	5048	2093	4509	5921	3291	1854	3199	3691	3089	3565	3889	5967	3012	1685	4421	2395	2807	3499	3910	5813	1824	4014	2456	3593	2581	2061	3374	2663	1354	2740	2425	1829	25305	1052	5188	961	1767
hsa-miR-100-5p	750	638	760	805	240	29	948	440	344	9	7	5	822	544	4	362	24	153	9	1064	26	806	449	199	611	149	6	14	7	12	394	395	894	19	2	209	14	702	17	793	446	59	684	630	4409	7	1250	19	9	2147	10	15
