#miRNA	read_count	precursor	total	aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb	aaa(norm)	aab(norm)	aac(norm)	aad(norm)	aae(norm)	aaf(norm)	aag(norm)	aah(norm)	aai(norm)	aaj(norm)	aak(norm)	aal(norm)	aam(norm)	aan(norm)	aao(norm)	aap(norm)	aaq(norm)	aar(norm)	aas(norm)	aat(norm)	aau(norm)	aav(norm)	aaw(norm)	aay(norm)	aaz(norm)	aba(norm)	abb(norm)	abc(norm)	abd(norm)	abe(norm)	abf(norm)	abg(norm)	abh(norm)	abi(norm)	abj(norm)	abk(norm)	abl(norm)	abm(norm)	abn(norm)	abo(norm)	abp(norm)	abq(norm)	abr(norm)	abs(norm)	abt(norm)	abu(norm)	abv(norm)	abw(norm)	aby(norm)	abz(norm)	aca(norm)	acb(norm)
chr10_16523	2.00	chr10_16523	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_16525	5.00	chr10_16525	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0.07	0	0	0	0.08	0	0	0	0	0	0	0
chr10_16535	30.00	chr10_16535	30.00	1.00	0	1.00	2.00	0	0	1.00	1.00	0	0	1.00	1.00	2.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	1.00	1.00	1.00	0	1.00	0	3.00	0	4.00	0	1.00	1.00	1.00	0	0	1.00	1.00	0	0	1.00	0	0	1.00	0	0.08	0	0.07	0.14	0	0	0.07	0.08	0	0	0.08	0.07	0.07	0	0	0	0	0	0	0.08	0	0.08	0	0	0	0	0	0	0.09	0.10	0.09	0	0.09	0	0.25	0	0.35	0	0.08	0.08	0.07	0	0	0.07	0.08	0	0	0.07	0	0	0.08	0
chr10_16571	21.00	chr10_16571	21.00	0	0	0	1.00	0	1.00	0	0	1.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	2.00	0	1.00	0	1.00	2.00	1.00	2.00	2.00	0	0	0	0	0	0	0	1.00	0	1.00	1.00	0	0	0	0	0.07	0	0.07	0	0	0.07	0	0.08	0	0.04	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0.10	0	0.17	0	0.09	0	0.09	0.17	0.08	0.17	0.16	0	0	0	0	0	0	0	0.07	0	0.07	0.08	0
chr10_16593	2.00	chr10_16593	2.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_16644	736.00	chr10_16644	736.00	6.00	21.00	15.00	19.00	3.00	14.00	6.00	12.00	11.00	6.00	50.00	13.00	6.00	51.00	0	18.00	12.00	10.00	8.00	10.00	5.00	11.00	5.00	7.00	14.00	11.00	41.00	13.00	4.00	12.00	12.00	17.00	2.00	12.00	9.00	9.00	5.00	11.00	10.00	14.00	16.00	1.00	9.00	19.00	34.00	29.00	28.00	22.00	11.00	19.00	17.00	16.00	0.46	1.49	1.12	1.37	0.21	0.95	0.39	0.96	0.79	0.41	3.97	0.96	0.22	3.84	0	1.30	0.88	0.82	0.59	0.77	0.39	0.88	0.39	0.56	1.06	0.97	4.36	1.04	0.34	1.16	1.09	1.48	0.17	1.12	0.74	0.80	0.44	0.92	0.85	1.10	1.13	0.07	0.68	1.37	2.59	2.42	2.07	1.60	0.86	1.29	1.31	1.34
chr10_16678	16.00	chr10_16678	16.00	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	1.00	0	0	0	0	3.00	0	0	0	2.00	0	2.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0.07	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.07	0	0	0.08	0	0	0	0	0.23	0	0	0	0.17	0	0.18	0	0.09	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.08	0.08
chr10_16678	15.00	chr10_16678	15.00	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	1.00	0	0	0	0	3.00	0	0	0	2.00	0	2.00	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0.07	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.07	0	0	0.08	0	0	0	0	0.23	0	0	0	0.17	0	0.18	0	0.09	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.08
chr10_16692	26.00	chr10_16692	26.00	0	0	0	0	0	0	1.00	0	0	0	0	1.00	2.00	4.00	0	1.00	0	0	1.00	1.00	0	0	0	0	1.00	0	0	2.00	1.00	0	0	1.00	0	0	1.00	0	1.00	1.00	1.00	0	1.00	0	0	0	1.00	0	0	2.00	0	0	0	2.00	0	0	0	0	0	0	0.07	0	0	0	0	0.07	0.07	0.30	0	0.07	0	0	0.07	0.08	0	0	0	0	0.08	0	0	0.16	0.09	0	0	0.09	0	0	0.08	0	0.09	0.08	0.08	0	0.07	0	0	0	0.08	0	0	0.15	0	0	0	0.17
chr10_16707	1.00	chr10_16707	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0
chr10_16747	11139.00	chr10_16747	11139.00	133.00	231.00	205.00	89.00	185.00	143.00	132.00	243.00	281.00	282.00	289.00	215.00	457.00	283.00	135.00	241.00	328.00	159.00	324.00	284.00	291.00	299.00	178.00	336.00	306.00	292.00	249.00	294.00	253.00	124.00	258.00	230.00	276.00	150.00	215.00	248.00	188.00	154.00	196.00	252.00	247.00	119.00	125.00	82.00	138.00	156.00	197.00	116.00	139.00	173.00	72.00	147.00	10.28	16.40	15.27	6.44	12.72	9.73	8.68	19.34	20.19	19.34	22.95	15.93	17.13	21.31	9.19	17.42	23.96	13.04	23.79	22.01	22.87	23.81	13.98	26.99	23.09	25.64	26.45	23.58	21.53	12.00	23.39	19.99	23.81	14.04	17.76	22.04	16.44	12.83	16.58	19.86	17.49	8.24	9.45	5.91	10.52	13.00	14.57	8.44	10.89	11.74	5.55	12.32
chr10_16767	3.00	chr10_16767	3.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0
chr10_16797	11.00	chr10_16797	11.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	2.00	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	3.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.15	0	0	0.07	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0.20	0	0.08
