#miRNA	read_count	precursor
chr10_16523	2	chr10_16523
chr10_16525	5	chr10_16525
chr10_16535	30	chr10_16535
chr10_16571	21	chr10_16571
chr10_16593	2	chr10_16593
chr10_16644	736	chr10_16644
chr10_16678	16	chr10_16678
chr10_16678	15	chr10_16678
chr10_16692	26	chr10_16692
chr10_16707	1	chr10_16707
chr10_16747	11139	chr10_16747
chr10_16767	3	chr10_16767
chr10_16797	11	chr10_16797
chr10_16828	52	chr10_16828
chr10_16848	51	chr10_16848
chr10_16855	12	chr10_16855
chr10_16882	6	chr10_16882
chr10_16927	8	chr10_16927
chr10_16931	9	chr10_16931
chr10_16981	5	chr10_16981
chr10_17003	20	chr10_17003
chr10_17035	57	chr10_17035
chr10_17121	528	chr10_17121
chr10_17190	6	chr10_17190
chr10_17210	652	chr10_17210
chr10_17228	5	chr10_17228
chr10_17270	8	chr10_17270
chr10_17345	2	chr10_17345
chr10_17375	27	chr10_17375
chr10_17376	23	chr10_17376
chr10_17446	33	chr10_17446
chr10_17472	5	chr10_17472
chr10_17485	90	chr10_17485
chr10_17563	11	chr10_17563
chr10_17583	47	chr10_17583
chr10_17590	8	chr10_17590
chr10_17636	35	chr10_17636
chr10_17691	101	chr10_17691
chr10_17793	184	chr10_17793
chr11_17970	22	chr11_17970
chr11_18085	61	chr11_18085
chr11_18109	10	chr11_18109
chr11_18166	17	chr11_18166
chr11_18199	44	chr11_18199
chr11_18214	7	chr11_18214
chr11_18221	105	chr11_18221
chr11_18251	66	chr11_18251
chr11_18269	22	chr11_18269
chr11_18273	2	chr11_18273
chr11_18366	34	chr11_18366
chr11_18403	8	chr11_18403
chr11_18410	18	chr11_18410
chr11_18464	282	chr11_18464
chr11_18469	4	chr11_18469
chr11_18470	4	chr11_18470
chr11_18530	387	chr11_18530
chr11_18549	107	chr11_18549
chr11_18673	3	chr11_18673
chr11_18723	17	chr11_18723
chr11_18733	3	chr11_18733
chr11_18887	17	chr11_18887
chr11_18905	83	chr11_18905
chr11_18949	44	chr11_18949
chr11_18952	49249	chr11_18952
